,tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,rating_numerator,rating_denominator,name,retweet_count,favorite_count,breed,stage
378,815966073409433600,0,0,2017-01-02 17:00:46,Twitter for iPhone,13,10,None,9237,23823,Tibetan_mastiff,pupper
382,814986499976527872,0,0,2016-12-31 00:08:17,Twitter for iPhone,11,10,Cooper,1407,8122,dalmatian,pupper
387,813910438903693312,0,0,2016-12-28 00:52:25,Twitter for iPhone,11,10,Chubbs,2047,9881,Siberian_husky,doggo
391,813202720496779264,0,0,2016-12-26 02:00:11,Twitter for iPhone,11,10,None,1960,9768,cocker_spaniel,doggo
396,813127251579564032,0,0,2016-12-25 21:00:18,Twitter for iPhone,11,10,None,3410,12617,Norwegian_elkhound,doggo
398,813096984823349248,0,0,2016-12-25 19:00:02,Twitter for iPhone,11,10,Rocky,3922,11209,Great_Dane,doggo
410,811386762094317568,0,0,2016-12-21 01:44:13,Twitter for iPhone,11,10,Craig,6973,22263,Pembroke,pupper
422,808733504066486276,0,0,2016-12-13 18:01:07,Twitter for iPhone,12,10,None,2369,8422,toy_poodle,pupper
425,808106460588765185,0,0,2016-12-12 00:29:28,Twitter for iPhone,12,10,None,2400,9318,golden_retriever,pupper
427,807621403335917568,0,0,2016-12-10 16:22:02,Twitter for iPhone,14,10,Ollie,4013,15515,golden_retriever,pupper
444,803773340896923648,0,0,2016-11-30 01:31:12,Twitter for iPhone,12,10,Diogi,3029,10710,miniature_pinscher,puppo
446,803638050916102144,0,0,2016-11-29 16:33:36,Twitter for iPhone,13,10,None,4515,11702,Labrador_retriever,pupper
453,802265048156610565,733109485275860992,4196983835,2016-11-25 21:37:47,Twitter for iPhone,11,10,None,1491,7042,Labrador_retriever,pupper
454,802239329049477120,0,0,2016-11-25 19:55:35,Twitter for iPhone,12,10,Loki,2848,9673,Eskimo_dog,puppo
459,801115127852503040,0,0,2016-11-22 17:28:25,Twitter for iPhone,12,10,Bones,2283,8624,dalmatian,pupper
464,800388270626521089,0,0,2016-11-20 17:20:08,Twitter for iPhone,12,10,Doc,3073,11892,golden_retriever,floofer
468,799757965289017345,0,0,2016-11-18 23:35:32,Twitter for iPhone,13,10,Sobe,2362,8973,Border_collie,doggo
482,797971864723324932,0,0,2016-11-14 01:18:12,Twitter for iPhone,12,10,None,3436,12434,American_Staffordshire_terrier,pupper
487,796484825502875648,0,0,2016-11-09 22:49:15,Twitter for iPhone,12,10,None,1928,8087,cocker_spaniel,doggo
494,795464331001561088,0,0,2016-11-07 03:14:10,Twitter for iPhone,13,10,None,26056,53181,golden_retriever,doggo
513,793195938047070209,0,0,2016-10-31 21:00:23,Twitter for iPhone,12,10,Lily,6153,16316,Labrador_retriever,puppo
529,790946055508652032,0,0,2016-10-25 16:00:09,Twitter for iPhone,12,10,Betty,5130,17727,golden_retriever,puppo
549,787717603741622272,0,0,2016-10-16 18:11:26,Twitter for iPhone,13,10,Tonks,3036,10900,German_shepherd,puppo
556,786363235746385920,0,0,2016-10-13 00:29:39,Twitter for iPhone,13,10,Rizzo,3817,11615,golden_retriever,doggo
577,782747134529531904,0,0,2016-10-03 01:00:34,Twitter for iPhone,11,10,Deacon,1517,7937,golden_retriever,doggo
580,782305867769217024,0,0,2016-10-01 19:47:08,Twitter for iPhone,12,10,Sampson,6064,17724,briard,doggo
608,778039087836069888,0,0,2016-09-20 01:12:28,Twitter for iPhone,12,10,None,2855,8993,German_shepherd,pupper
617,776477788987613185,0,0,2016-09-15 17:48:25,Twitter for iPhone,11,10,Huck,3026,9380,Labrador_retriever,pupper
618,776218204058357768,0,0,2016-09-15 00:36:55,Twitter for iPhone,13,10,None,17309,31842,Samoyed,floofer
626,775364825476165632,0,0,2016-09-12 16:05:54,Twitter for iPhone,11,10,Finley,3224,7871,beagle,doggo
631,773985732834758656,0,0,2016-09-08 20:45:53,Twitter for iPhone,11,10,Winnie,4194,11376,pug,pupper
635,773547596996571136,0,0,2016-09-07 15:44:53,Twitter for iPhone,11,10,Chelsea,6675,23416,Norwegian_elkhound,pupper
643,772193107915964416,0,0,2016-09-03 22:02:38,Twitter for iPhone,12,10,Willem,1497,6366,Pembroke,pupper
687,765371061932261376,0,0,2016-08-16 02:14:15,Twitter for iPhone,11,10,Louie,2331,7494,golden_retriever,pupper
709,760893934457552897,0,0,2016-08-03 17:43:45,Twitter for iPhone,11,10,Wishes,1047,4031,Blenheim_spaniel,doggo
718,759793422261743616,0,0,2016-07-31 16:50:42,Twitter for iPhone,12,10,Maggie,2043,6287,golden_retriever,pupper
727,758828659922702336,0,0,2016-07-29 00:57:05,Twitter for iPhone,13,10,None,4116,11765,Chesapeake_Bay_retriever,doggo
741,757393109802180609,0,0,2016-07-25 01:52:43,Twitter for iPhone,10,10,None,1878,6140,Labrador_retriever,doggo
744,756939218950160384,0,0,2016-07-23 19:49:07,Twitter for iPhone,12,10,Jax,2161,7002,golden_retriever,pupper
749,756275833623502848,0,0,2016-07-21 23:53:04,Twitter for iPhone,10,10,None,1631,6760,Airedale,puppo
750,755955933503782912,0,0,2016-07-21 02:41:54,Twitter for iPhone,12,10,None,3104,7718,Pekinese,pupper
766,752682090207055872,0,0,2016-07-12 01:52:49,Twitter for iPhone,10,10,None,1721,6287,German_shepherd,doggo
767,752660715232722944,0,0,2016-07-12 00:27:52,Twitter for iPhone,10,10,None,1688,4633,English_setter,doggo
768,752519690950500352,0,0,2016-07-11 15:07:30,Twitter for iPhone,11,10,None,3701,7746,Labrador_retriever,puppo
769,752334515931054080,0,0,2016-07-11 02:51:40,Twitter for iPhone,8,10,None,1182,4012,Bedlington_terrier,doggo
777,751456908746354688,0,0,2016-07-08 16:44:23,Twitter for iPhone,12,10,None,1071,3367,golden_retriever,pupper
780,751132876104687617,0,0,2016-07-07 19:16:47,Twitter for iPhone,10,10,Cooper,1394,5330,Labrador_retriever,puppo
781,750868782890057730,0,0,2016-07-07 01:47:22,Twitter for iPhone,11,10,Milo,1483,5012,toy_poodle,pupper
785,750383411068534784,0,0,2016-07-05 17:38:41,Twitter for iPhone,9,10,Zoe,1219,4780,Border_collie,pupper
791,750071704093859840,0,0,2016-07-04 21:00:04,Twitter for iPhone,10,10,None,3576,8260,redbone,pupper
795,750011400160841729,0,0,2016-07-04 17:00:26,TweetDeck,11,10,Piper,970,3406,Boston_bull,doggo
799,749417653287129088,0,0,2016-07-03 01:41:06,Twitter for iPhone,11,10,Finn,1778,6396,papillon,pupper
802,749317047558017024,0,0,2016-07-02 19:01:20,Twitter for iPhone,12,10,Blu,2366,5745,wire-haired_fox_terrier,floofer
806,748932637671223296,0,0,2016-07-01 17:33:49,Twitter for iPhone,13,10,Divine,2417,6123,borzoi,doggo
815,747963614829678593,0,0,2016-06-29 01:23:16,Twitter for iPhone,10,10,None,2286,6055,kelpie,pupper
838,745433870967832576,0,0,2016-06-22 01:50:58,Twitter for iPhone,10,10,Lenox,2702,7408,basset,doggo
842,744995568523612160,0,0,2016-06-20 20:49:19,Twitter for iPhone,9,10,Abby,660,3107,Old_English_sheepdog,puppo
846,744234799360020481,0,0,2016-06-18 18:26:18,Twitter for iPhone,13,10,None,83264,163731,Labrador_retriever,doggo
853,743253157753532416,0,0,2016-06-16 01:25:36,Twitter for iPhone,10,10,Kilo,1295,4418,malamute,puppo
861,742150209887731712,0,0,2016-06-13 00:22:53,Twitter for iPhone,8,10,Edmund,1655,5360,French_bulldog,pupper
863,741743634094141440,0,0,2016-06-11 21:27:17,Twitter for iPhone,11,10,Aqua,2932,8528,Labrador_retriever,pupper
866,741067306818797568,0,0,2016-06-10 00:39:48,Twitter for iPhone,12,10,just,3277,9863,golden_retriever,pupper
870,740676976021798912,0,0,2016-06-08 22:48:46,Twitter for iPhone,11,10,Baloo,7211,18938,Norwegian_elkhound,pupper
878,739606147276148736,0,0,2016-06-05 23:53:41,Twitter for iPhone,9,10,Benji,1757,5598,Blenheim_spaniel,pupper
881,739238157791694849,0,0,2016-06-04 23:31:25,Twitter for iPhone,13,10,None,61643,120936,Eskimo_dog,doggo
884,738537504001953792,0,0,2016-06-03 01:07:16,Twitter for iPhone,11,10,Bayley,1653,5308,chow,puppo
892,737445876994609152,0,0,2016-05-31 00:49:32,Twitter for iPhone,13,10,None,4729,10710,Samoyed,floofer
896,736365877722001409,0,0,2016-05-28 01:18:00,Twitter for iPhone,11,10,Rory,1324,4158,toy_poodle,pupper
900,735648611367784448,0,0,2016-05-26 01:47:51,Twitter for iPhone,12,10,None,1168,4167,Pembroke,pupper
903,735256018284875776,0,0,2016-05-24 23:47:49,Twitter for iPhone,8,10,Kellogg,940,3479,Staffordshire_bullterrier,doggo
904,735137028879360001,0,0,2016-05-24 15:55:00,Twitter for iPhone,9,10,Buckley,1026,3256,Walker_hound,pupper
909,733822306246479872,0,0,2016-05-21 00:50:46,Twitter for iPhone,10,10,Moose,1067,3813,Lhasa,floofer
912,733109485275860992,0,0,2016-05-19 01:38:16,Twitter for iPhone,12,10,None,17807,51284,golden_retriever,pupper
916,732375214819057664,0,0,2016-05-17 01:00:32,Twitter for iPhone,11,10,Kyle,2674,8419,basset,doggo
921,730573383004487680,0,0,2016-05-12 01:40:42,Twitter for iPhone,10,10,Rooney,2279,5116,American_Staffordshire_terrier,pupper
938,728015554473250816,0,0,2016-05-05 00:16:48,Twitter for iPhone,11,10,Rueben,1161,4256,cocker_spaniel,pupper
940,727644517743104000,0,0,2016-05-03 23:42:26,Twitter for iPhone,13,10,None,1849,6134,Great_Pyrenees,doggo
941,727524757080539137,0,0,2016-05-03 15:46:33,Twitter for iPhone,10,10,None,1287,4648,Pomeranian,pupper
942,727314416056803329,0,0,2016-05-03 01:50:44,Twitter for iPhone,11,10,None,794,3463,toy_poodle,pupper
950,725786712245440512,0,0,2016-04-28 20:40:11,Twitter for iPhone,11,10,Lillie,1435,4322,chow,pupper
953,724771698126512129,0,0,2016-04-26 01:26:53,Twitter for iPhone,11,10,None,678,2466,German_short-haired_pointer,doggo
954,724405726123311104,0,0,2016-04-25 01:12:38,Twitter for iPhone,10,10,Ashleigh,1739,5507,golden_retriever,pupper
957,724004602748780546,0,0,2016-04-23 22:38:43,Twitter for iPhone,11,10,Luther,1662,4348,pug,pupper
965,721001180231503872,0,0,2016-04-15 15:44:11,Twitter for iPhone,11,10,Oliver,652,2625,Samoyed,pupper
973,719991154352222208,0,0,2016-04-12 20:50:42,Twitter for iPhone,10,10,None,1845,5012,golden_retriever,doggo
993,717009362452090881,0,0,2016-04-04 15:22:08,Twitter for iPhone,10,10,Smokey,1027,3400,Siberian_husky,pupper
998,716080869887381504,0,0,2016-04-02 01:52:38,Twitter for iPhone,11,10,None,2027,6985,golden_retriever,doggo
1038,711008018775851008,0,0,2016-03-19 01:54:56,Twitter for iPhone,11,10,Chuckles,651,3113,French_bulldog,pupper
1049,710117014656950272,0,0,2016-03-16 14:54:24,Twitter for iPhone,11,10,None,2110,5729,toy_poodle,pupper
1063,708845821941387268,0,0,2016-03-13 02:43:08,Twitter for iPhone,9,10,None,948,3106,schipperke,pupper
1084,707411934438625280,0,0,2016-03-09 03:45:22,Twitter for iPhone,11,10,None,630,2378,Lakeland_terrier,pupper
1087,707315916783140866,0,0,2016-03-08 21:23:50,Twitter for iPhone,10,10,Finnegus,678,2579,Bernese_mountain_dog,pupper
1100,706310011488698368,0,0,2016-03-06 02:46:44,Twitter for iPhone,12,10,None,8449,22295,Pembroke,pupper
1104,705975130514706432,0,0,2016-03-05 04:36:02,Twitter for iPhone,10,10,Adele,777,3234,Staffordshire_bullterrier,pupper
1107,705786532653883392,703255935813287936,4196983835,2016-03-04 16:06:36,Twitter for iPhone,11,10,None,554,2027,Labrador_retriever,pupper
1111,705428427625635840,0,0,2016-03-03 16:23:38,Twitter for iPhone,11,10,Ambrose,1786,3979,Chihuahua,pupper
1120,704761120771465216,0,0,2016-03-01 20:11:59,Twitter for iPhone,13,10,None,3069,6904,Chihuahua,pupper
1124,704347321748819968,0,0,2016-02-29 16:47:42,Twitter for iPhone,10,10,Ralphson,367,1657,Brittany_spaniel,pupper
1130,703611486317502464,0,0,2016-02-27 16:03:45,Twitter for iPhone,10,10,Scooter,1601,4020,Pembroke,pupper
1135,703268521220972544,0,0,2016-02-26 17:20:56,Twitter for iPhone,12,10,None,574,2051,kuvasz,pupper
1141,702598099714314240,0,0,2016-02-24 20:56:55,Twitter for iPhone,11,10,Sansa,3633,12717,kelpie,pupper
1151,701545186879471618,0,0,2016-02-21 23:13:01,Twitter for iPhone,10,10,Millie,650,2774,Border_collie,pupper
1162,700151421916807169,0,0,2016-02-18 02:54:41,Twitter for iPhone,11,10,None,705,2332,Italian_greyhound,pupper
1163,700143752053182464,0,0,2016-02-18 02:24:13,Twitter for iPhone,10,10,None,2913,7852,golden_retriever,pupper
1167,699801817392291840,0,0,2016-02-17 03:45:29,Twitter for iPhone,11,10,Cooper,1015,3192,golden_retriever,pupper
1173,699434518667751424,0,0,2016-02-16 03:25:58,Twitter for iPhone,12,10,None,537,2257,golden_retriever,pupper
1181,699036661657767936,0,0,2016-02-15 01:05:02,Twitter for iPhone,13,10,None,1267,2718,Chihuahua,pupper
1198,697616773278015490,0,0,2016-02-11 03:02:54,Twitter for iPhone,11,10,None,1073,3300,Lhasa,pupper
1199,697596423848730625,0,0,2016-02-11 01:42:02,Twitter for iPhone,11,10,None,1334,3163,Shetland_sheepdog,pupper
1212,696713835009417216,0,0,2016-02-08 15:14:57,Twitter for iPhone,9,10,Trevith,681,2470,Chesapeake_Bay_retriever,pupper
1222,695095422348574720,0,0,2016-02-04 04:03:57,Twitter for iPhone,12,10,just,651,2753,papillon,pupper
1223,695074328191332352,0,0,2016-02-04 02:40:08,Twitter for iPhone,11,10,Lorenzo,1174,2970,Shih-Tzu,pupper
1228,694356675654983680,670668383499735040,4196983835,2016-02-02 03:08:26,Twitter for iPhone,10,10,None,305,1572,Pomeranian,pupper
1230,694329668942569472,0,0,2016-02-02 01:21:07,Twitter for iPhone,9,10,Grady,530,2094,boxer,pupper
1237,693629975228977152,0,0,2016-01-31 03:00:47,Twitter for iPhone,12,10,None,844,2557,pug,pupper
1242,693262851218264065,0,0,2016-01-30 02:41:58,Twitter for iPhone,11,10,None,529,2329,golden_retriever,pupper
1246,693095443459342336,0,0,2016-01-29 15:36:45,Twitter for iPhone,10,10,Milo,490,1956,Yorkshire_terrier,pupper
1248,692905862751522816,0,0,2016-01-29 03:03:25,Twitter for iPhone,10,10,Wally,927,2550,Mexican_hairless,pupper
1251,692828166163931137,0,0,2016-01-28 21:54:41,Twitter for iPhone,12,10,None,930,3014,Samoyed,pupper
1252,692752401762250755,0,0,2016-01-28 16:53:37,Twitter for iPhone,13,10,None,3851,7131,Samoyed,pupper
1284,690015576308211712,0,0,2016-01-21 03:38:27,Twitter for iPhone,12,10,None,788,2625,malamute,pupper
1288,689905486972461056,0,0,2016-01-20 20:21:00,Twitter for iPhone,11,10,Gizmo,734,2540,Pomeranian,pupper
1293,689623661272240129,0,0,2016-01-20 01:41:08,Twitter for iPhone,10,10,Lucy,681,2333,toy_poodle,pupper
1302,689143371370250240,0,0,2016-01-18 17:52:38,Twitter for iPhone,10,10,Trip,542,2113,English_springer,pupper
1303,688916208532455424,0,0,2016-01-18 02:49:58,Twitter for iPhone,11,10,None,926,2860,Pembroke,pupper
1311,688519176466644993,0,0,2016-01-17 00:32:18,Twitter for iPhone,12,10,None,780,2419,Pembroke,pupper
1318,687818504314159109,0,0,2016-01-15 02:08:05,Twitter for iPhone,12,10,None,1009,2618,Lakeland_terrier,pupper
1320,687704180304273409,0,0,2016-01-14 18:33:48,Twitter for iPhone,9,10,Blakely,884,2551,miniature_pinscher,pupper
1327,687312378585812992,0,0,2016-01-13 16:36:55,Twitter for iPhone,7,10,None,2018,4556,Great_Dane,pupper
1332,687096057537363968,0,0,2016-01-13 02:17:20,Twitter for iPhone,11,10,None,642,2350,Labrador_retriever,pupper
1336,686683045143953408,0,0,2016-01-11 22:56:10,Twitter for iPhone,11,10,Mona,851,2937,Norwich_terrier,pupper
1337,686618349602762752,0,0,2016-01-11 18:39:05,Twitter for iPhone,11,10,Olivia,1449,3859,Rottweiler,pupper
1340,686377065986265092,0,0,2016-01-11 02:40:19,Twitter for iPhone,10,10,Birf,598,2318,German_shepherd,pupper
1344,686007916130873345,0,0,2016-01-10 02:13:27,Twitter for iPhone,11,10,None,449,2598,Rhodesian_ridgeback,pupper
1347,685943807276412928,0,0,2016-01-09 21:58:42,Twitter for iPhone,8,10,the,639,1701,papillon,pupper
1351,685641971164143616,0,0,2016-01-09 01:59:19,Twitter for iPhone,7,10,Otis,831,3066,Lakeland_terrier,pupper
1357,685307451701334016,0,0,2016-01-08 03:50:03,Twitter for iPhone,11,10,Petrick,467,2166,Pomeranian,floofer
1358,685268753634967552,0,0,2016-01-08 01:16:17,Twitter for iPhone,10,10,Hubertson,1280,3231,pug,pupper
1360,685169283572338688,0,0,2016-01-07 18:41:01,Twitter for iPhone,11,10,Gerbald,1511,4281,Bernese_mountain_dog,pupper
1385,683834909291606017,0,0,2016-01-04 02:18:42,Twitter for iPhone,9,10,None,1183,2737,Maltese_dog,pupper
1386,683828599284170753,0,0,2016-01-04 01:53:37,Twitter for iPhone,12,10,None,1124,2924,malamute,pupper
1390,683481228088049664,0,0,2016-01-03 02:53:17,Twitter for iPhone,11,10,Banjo,1060,2758,keeshond,pupper
1391,683462770029932544,0,0,2016-01-03 01:39:57,Twitter for iPhone,8,10,None,712,2536,Italian_greyhound,pupper
1395,683142553609318400,0,0,2016-01-02 04:27:31,Twitter for iPhone,9,10,Brandy,1109,3018,Leonberg,pupper
1396,683111407806746624,0,0,2016-01-02 02:23:45,Twitter for iPhone,10,10,Larry,971,3548,cocker_spaniel,pupper
1398,683078886620553216,0,0,2016-01-02 00:14:32,Twitter for iPhone,9,10,None,600,2073,Eskimo_dog,pupper
1418,681891461017812993,0,0,2015-12-29 17:36:07,Twitter for iPhone,10,10,Charlie,878,2571,Chihuahua,pupper
1419,681694085539872773,0,0,2015-12-29 04:31:49,Twitter for iPhone,11,10,Bo,4313,13331,toy_poodle,pupper
1421,681654059175129088,0,0,2015-12-29 01:52:46,Twitter for iPhone,12,10,Toffee,987,2751,Pomeranian,pupper
1432,681231109724700672,0,0,2015-12-27 21:52:07,Twitter for iPhone,11,10,None,514,2502,Irish_setter,pupper
1440,680836378243002368,0,0,2015-12-26 19:43:36,Twitter for iPhone,12,10,Ellie,1412,3610,Pembroke,pupper
1447,680473011644985345,0,0,2015-12-25 19:39:43,Twitter for iPhone,10,10,Hector,793,2657,Lakeland_terrier,pupper
1451,680191257256136705,0,0,2015-12-25 01:00:07,Twitter for iPhone,11,10,None,536,2231,Brittany_spaniel,pupper
1454,680145970311643136,0,0,2015-12-24 22:00:10,Twitter for iPhone,10,10,Kawhi,1860,3774,miniature_poodle,pupper
1457,680100725817409536,0,0,2015-12-24 19:00:23,TweetDeck,11,10,None,1452,3720,golden_retriever,pupper
1464,679828447187857408,0,0,2015-12-24 00:58:27,Twitter for iPhone,13,10,None,14913,37779,Chihuahua,pupper
1465,679777920601223168,0,0,2015-12-23 21:37:40,Twitter for iPhone,10,10,Rinna,1186,3210,bloodhound,pupper
1483,678800283649069056,0,0,2015-12-21 04:52:53,Twitter for iPhone,12,10,None,956,2678,Labrador_retriever,pupper
1497,678389028614488064,0,0,2015-12-20 01:38:42,Twitter for iPhone,11,10,Bella,442,1938,miniature_pinscher,pupper
1499,678341075375947776,0,0,2015-12-19 22:28:09,Twitter for iPhone,12,10,None,568,1792,golden_retriever,pupper
1501,678278586130948096,0,0,2015-12-19 18:19:51,Twitter for iPhone,10,10,None,6422,11882,Maltese_dog,pupper
1515,677557565589463040,0,0,2015-12-17 18:34:46,Twitter for iPhone,10,10,None,1224,2522,Shih-Tzu,pupper
1523,677269281705472000,0,0,2015-12-16 23:29:14,Twitter for iPhone,10,10,the,742,2067,Shetland_sheepdog,pupper
1532,676936541936185344,0,0,2015-12-16 01:27:03,Twitter for iPhone,8,10,None,5163,13117,Chesapeake_Bay_retriever,pupper
1536,676819651066732545,0,0,2015-12-15 17:42:34,Twitter for iPhone,12,10,None,699,1858,Labrador_retriever,pupper
1539,676617503762681856,0,0,2015-12-15 04:19:18,Twitter for iPhone,13,10,None,1033,2988,Chihuahua,pupper
1542,676603393314578432,0,0,2015-12-15 03:23:14,Twitter for iPhone,9,10,Godzilla,404,1203,whippet,pupper
1545,676575501977128964,0,0,2015-12-15 01:32:24,Twitter for iPhone,8,10,None,1174,2675,Yorkshire_terrier,pupper
1548,676470639084101634,0,0,2015-12-14 18:35:43,Twitter for iPhone,11,10,None,4895,11949,golden_retriever,pupper
1551,676263575653122048,0,0,2015-12-14 04:52:55,Twitter for iPhone,10,10,None,578,2137,toy_poodle,pupper
